Time	Open	High	Low	Close
2024.04.02 00:00:00	0.85576	0.85744	0.85399	0.85615
2024.04.03 00:00:00	0.85616	0.85816	0.85563	0.85655
2024.04.04 00:00:00	0.8566	0.85799	0.85639	0.85723
2024.04.05 00:00:00	0.85728	0.85854	0.85708	0.85745
2024.04.07 00:00:00	0.85728	0.85793	0.85663	0.8578
2024.04.08 00:00:00	0.85781	0.85837	0.8573	0.85806
2024.04.09 00:00:00	0.85807	0.85816	0.85605	0.85649
2024.04.10 00:00:00	0.85648	0.85701	0.85466	0.85672
2024.04.11 00:00:00	0.85671	0.85689	0.85413	0.8543
2024.04.12 00:00:00	0.85428	0.85511	0.85277	0.85465
2024.04.14 00:00:00	0.8534	0.85471	0.85308	0.85438
2024.04.15 00:00:00	0.85437	0.8552	0.85264	0.85359
2024.04.16 00:00:00	0.85356	0.85492	0.85273	0.85437
2024.04.17 00:00:00	0.85435	0.85714	0.85203	0.85667
2024.04.18 00:00:00	0.85666	0.85704	0.85505	0.85578
2024.04.19 00:00:00	0.85577	0.86149	0.85542	0.86138
2024.04.21 00:00:00	0.85988	0.86148	0.8598	0.86114
2024.04.22 00:00:00	0.8611	0.86434	0.86081	0.86259
2024.04.23 00:00:00	0.8626	0.86438	0.85926	0.85929
2024.04.24 00:00:00	0.85928	0.85994	0.85806	0.85868
2024.04.25 00:00:00	0.85872	0.85913	0.8564	0.85757
2024.04.26 00:00:00	0.85756	0.8583	0.8557	0.85579
2024.04.28 00:00:00	0.85491	0.8562	0.85491	0.85583
2024.04.29 00:00:00	0.85582	0.85604	0.85303	0.85306
2024.04.30 00:00:00	0.85307	0.85541	0.853	0.85396
2024.05.01 00:00:00	0.85397	0.85577	0.85359	0.85475
2024.05.02 00:00:00	0.85483	0.85641	0.85459	0.85563
2024.05.03 00:00:00	0.85562	0.85857	0.85504	0.85773
2024.05.05 00:00:00	0.85698	0.85782	0.85634	0.85778
2024.05.06 00:00:00	0.85779	0.85808	0.85563	0.85723
2024.05.07 00:00:00	0.85721	0.8599	0.85709	0.85985
2024.05.08 00:00:00	0.85982	0.8617	0.85955	0.86012
2024.05.09 00:00:00	0.86014	0.86196	0.85902	0.86074
2024.05.10 00:00:00	0.86076	0.86099	0.8594	0.85985
2024.05.12 00:00:00	0.85935	0.86009	0.85935	0.86001
2024.05.13 00:00:00	0.86002	0.8608	0.85877	0.85915
2024.05.14 00:00:00	0.85916	0.86134	0.85864	0.85923
2024.05.15 00:00:00	0.85924	0.85992	0.85744	0.85804
2024.05.16 00:00:00	0.85803	0.85867	0.85739	0.85758
